2017,2018,,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,,
,HII,246,CR Bard,BCR,reports,,,,,9892,,,
IDXX,,247,St Jude Medical ,STJ,reports,,,,,203077,,,
INFO,,248,Tegna Inc,TGNA,reports,,,,,39899,,,
,,249,Illinois Tool Works,ITW,reports,Industrials,Industrial Machinery,"Glenview, Illinois",31471,49826,,,
,,250,Illumina Inc,ILMN,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",42327,1110803,,,
,,251,Ingersoll-Rand PLC,IR,reports,Industrials,Industrial Machinery,"Dublin, Ireland",40499,1466258,,,
,,252,Intel Corp.,INTC,reports,Information Technology,Semiconductors,"Santa Clara, California",28125,50863,,,
,,253,Intercontinental Exchange,ICE,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",39351,1571949,,,
,,254,International Business Machines,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143,1911,,
INCY,,255,Spectra Energy Corp ,SE,reports,,,,,1373835,,,
,,256,International Paper,IP,reports,Materials,Paper Packaging,"Memphis, Tennessee",,51434,1898,,
,,257,Interpublic Group,IPG,reports,Communication Services,Advertising,"New York, New York",33878,51644,,,
,,258,Intl Flavors & Fragrances,IFF,reports,Materials,Specialty Chemicals,"New York, New York",27850,51253,,,
,,259,Intuit Inc.,INTU,reports,Information Technology,Internet Software & Services,"Mountain View, California",36865,896878,,,
,,260,Intuitive Surgical Inc.,ISRG,reports,Health Care,Health Care Equipment,"Sunnyvale, California",39601,1035267,,,
,,261,Invesco Ltd.,IVZ,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",39681,914208,,,
,IPGP,262,Scripps Networks Interactive,SNI,reports,,,,,1430602,,,
IQV,,263,Whole Foods Market ,WFM,reports,,,,,865436,,,
,,264,Iron Mountain Incorporated,IRM,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",39819,1020569,,,
,jkhy,265,EQT Corp ,EQT,reports,,,,,33213,,,
,,266,Jacobs Engineering Group,JEC,reports,Industrials,Construction & Engineering,"Pasadena, California",39381,52988,,,
,,267,J. B. Hunt Transport Services,JBHT,reports,Industrials,Trucking,"Lowell, Arkansas",42186,728535,,,
,,268,Jefferies Financial Group,JEF,reports,Financials,Multi-Sector Holdings,"New York, New York",39321,96223,,,
,,269,JM Smucker,SJM,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",39758,91419,,,
,,270,Johnson & Johnson,JNJ,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",26845,200406,1886,,
,,271,Johnson Controls International,JCI,reports,Industrials,Building Products,"Cork, Ireland",40417,833444,,,
,,272,JPMorgan Chase & Co.,JPM,reports,Financials,Diversified Banks,"New York, New York",27575,19617,,,
,,273,Juniper Networks,JNPR,reports,Information Technology,Communications Equipment,"Sunnyvale, California",,1043604,1996,,
,,274,Kansas City Southern,KSU,reports,Industrials,Railroads,"Kansas City, Missouri",41418,54480,,,
,,275,Kellogg Co.,K,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,1906,,
,,276,KeyCorp,KEY,reports,Financials,Regional Banks,"Cleveland, Ohio",34394,91576,,,
,KEYS,277,CA Inc.,CA,reports,,,,,356028,,,
,,278,Kimberly-Clark,KMB,reports,Consumer Staples,Household Products,"Irving, Texas",,55785,1872,,
,,279,Kimco Realty,KIM,reports,Real Estate,Retail REITs,"New Hyde Park, New York",38811,879101,,,
,,280,Kinder Morgan,KMI,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",41054,1506307,,,
,,281,KLA-Tencor Corp.,KLAC,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997),,
,,282,Kohl's Corp.,KSS,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639,1962,,
,,283,Kraft Heinz Co,KHC,reports,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",42191,1637459,,,
,,284,Kroger Co.,KR,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873,1883,,
,,285,L Brands Inc.,LB,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",30589,701985,,,
,,286,L-3 Communications Holdings,LLL,reports,Industrials,Aerospace & Defense,"New York, New York",,1056239,1997,,
,,287,Laboratory Corp. of America Holding,LH,reports,Health Care,Health Care Services,"Burlington, North Carolina",38292,920148,,,
,,288,Lam Research,LRCX,reports,Information Technology,Semiconductor Equipment,"Fremont, California",41089,707549,,,
,LW,289,Rockwell Collins Inc,COL,reports,,,,,1137411,,,
,,290,Leggett & Platt,LEG,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,1883,,
,,291,Lennar Corp.,LEN,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",38629,920760,,,
,,292,Lilly (Eli) & Co.,LLY,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",25933,59478,1876,,
,,293,Lincoln National,LNC,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",27941,59558,,,
,,294,Linde plc,LIN,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",33786,1707925,,,
,,295,LKQ Corporation,LKQ,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",42513,1065696,,,
,,296,Lockheed Martin Corp.,LMT,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",30894,936468,,,
,,297,Loews Corp.,L,reports,Financials,Multi-line Insurance,"New York, New York",,60086,,,
,,298,Lowe's Cos.,LOW,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",30741,60667,1904/1946/1959,,
,,299,LyondellBasell,LYB,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",41157,1489393,,,
,,300,M&T Bank Corp.,MTB,reports,Financials,Regional Banks,"Buffalo, New York",,36270,1856,,
,,301,Macerich,MAC,reports,Real Estate,Retail REITs,"Santa Monica, California",41403,912242,,,
,,302,Macy's Inc.,M,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367,1929,,
,,303,Marathon Oil Corp.,MRO,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",33359,101778,,,
,,304,Marathon Petroleum,MPC,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",40725,1510295,,,
,,305,Marriott Int'l.,MAR,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,,
,,306,Marsh & McLennan,MMC,reports,Financials,Insurance Brokers,"New York, New York",32020,62709,,,
,,307,Martin Marietta Materials,MLM,reports,Materials,Construction Materials,"Raleigh, North Carolina",41822,916076,,,
,,308,Masco Corp.,MAS,reports,Industrials,Building Products,"Taylor, Michigan",29767,62996,,,
,,309,Mastercard Inc.,MA,reports,Information Technology,IT Services,"Harrison, New York",39647,1141391,,,
,,310,Mattel Inc.,MAT,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",30041,63276,,,
,,311,McCormick & Co.,MKC,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754,1889,,
,MXIM,312,Aetna Inc ,AET,reports,,,,,1122304,,,
,,313,McDonald's Corp.,MCD,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",25749,63908,1940,,
,,314,McKesson Corp.,MCK,reports,Health Care,Health Care Distributors,"San Francisco, California",,927653,1833,,
,,315,Medtronic plc,MDT,reports,Health Care,Health Care Equipment,"Dublin, Ireland",31716,64670,,,
,,316,Merck & Co.,MRK,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158,1891,,
,,317,MetLife Inc.,MET,reports,Financials,Life & Health Insurance,"New York, New York",,1099219,1868,,
,,318,Mettler Toledo,MTD,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",42619,1037646,,,
MGM,,319,Reynolds American,RAI,reports,,,,,83612,,,
,,320,Microchip Technology,MCHP,reports,Information Technology,Semiconductors,"Chandler, Arizona",39332,827054,,,
,,321,Micron Technology,MU,reports,Information Technology,Semiconductors,"Boise, Idaho",34604,723125,,,
,,322,Microsoft Corp.,MSFT,reports,Information Technology,Systems Software,"Redmond, Washington",34486,789019,1975,,
,,323,Mid-America Apartments,MAA,reports,Real Estate,Residential REITs,"Memphis, Tennessee",42706,912595,,,
,,324,Mohawk Industries,MHK,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",41631,851968,,,
,,325,Molson Coors Brewing Company,TAP,reports,Consumer Staples,Brewers,"Denver, Colorado",27941,24545,,,
,,326,Mondelez International,MDLZ,reports,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",41184,1103982,,,
,,327,Monster Beverage,MNST,reports,Consumer Staples,Soft Drinks,"Corona, California",41088,865752,,,
,,328,Moody's Corp,MCO,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556,1909,,
,,329,Morgan Stanley,MS,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935,,
,,330,The Mosaic Company,MOS,reports,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",40812,1285785,,,
,,331,Motorola Solutions Inc.,MSI,reports,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505,1928 (2011),,
,MSCI,332,CSRA Inc ,CSRA,reports,,,,,1646383,,,
,,333,Mylan N.V.,MYL,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",38100,69499,,,
,,334,"Nasdaq, Inc.",NDAQ,reports,Financials,Financial Exchanges & Data,"New York, New York",39743,1120193,,,
,,335,National Oilwell Varco Inc.,NOV,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",38425,1021860,,,
,NKTR,336,Chesapeake Energy ,CHK,reports,,,,,895126,,,
,,337,NetApp,NTAP,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",36336,1002047,,,
,,338,Netflix Inc.,NFLX,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",40532,1065280,1997,,
,,339,Newell Brands,NWL,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",32628,814453,,,
,,340,Newmont Mining Corporation,NEM,reports,Materials,Gold,"Denver, Colorado",25384,1164727,1921,,
,,341,News Corp. Class A,NWSA,reports,Communication Services,Publishing,"New York, New York",41487,1564708,,,
,,342,News Corp. Class B,NWS,reports,Communication Services,Publishing,"New York, New York",42265,1564708,,,
,,343,NextEra Energy,NEE,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",27941,753308,,,
,,344,Nielsen Holdings,NLSN,reports,Industrials,Research & Consulting Services,"New York, New York",41464,1492633,,,
,,345,Nike,NKE,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",32477,320187,,,
,,346,NiSource Inc.,NI,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912,,
,,347,Noble Energy Inc,NBL,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",39363,72207,,,
,,348,Nordstrom,JWN,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",31655,72333,,,
,,349,Norfolk Southern Corp.,NSC,reports,Industrials,Railroads,"Norfolk, Virginia",,702165,1881/1894 (1980),,
,,350,Northern Trust Corp.,NTRS,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889,,
,,351,Northrop Grumman Corp.,NOC,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",31228,1133421,,,
NCLH,,352,Level 3 Communications,LVLT,reports,,,,,794323,,,
,,353,NRG Energy,NRG,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",40207,1013871,,,
,,354,Nucor Corp.,NUE,reports,Materials,Steel,"Charlotte, North Carolina",31167,73309,,,
,,355,Nvidia Corporation,NVDA,reports,Information Technology,Semiconductors,"Santa Clara, California",37225,1045810,,,
,,356,O'Reilly Automotive,ORLY,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",39899,898173,,,
,,357,Occidental Petroleum,OXY,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",30316,797468,,,
,,358,Omnicom Group,OMC,reports,Communication Services,Advertising,"New York, New York",,29989,1986,,
,,359,ONEOK,OKE,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",40252,1039684,,,
,,360,Oracle Corp.,ORCL,reports,Information Technology,Application Software,"Redwood Shores, California",32751,1341439,,,
,,361,PACCAR Inc.,PCAR,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",29586,75362,,,
PKG,,362,Murphy Oil ,MUR,reports,,,,,717423,,,
,,363,Parker-Hannifin,PH,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",31381,76334,,,
,,364,Paychex Inc.,PAYX,reports,Information Technology,Internet Software & Services,"Penfield, New York",,723531,1971,,
,,365,PayPal,PYPL,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",42205,1633917,,,
,,366,Pentair plc,PNR,reports,Industrials,Industrial Machinery,"Worsley, UK",41183,77360,,,
,,367,People's United Financial,PBCT,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",39765,1378946,,,
,,368,PepsiCo Inc.,PEP,reports,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,1898,,
,,369,PerkinElmer,PKI,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",31198,31791,,,
,,370,Perrigo,PRGO,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",40896,1585364,,,
,,371,Pfizer Inc.,PFE,reports,Health Care,Pharmaceuticals,"New York, New York",,78003,1849,,
,,372,Philip Morris International,PM,reports,Consumer Staples,Tobacco,"New York, New York",39538,1413329,,,
,,373,Phillips 66,PSX,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",41030,1534701,,,
,,374,Pinnacle West Capital,PNW,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985,,
,,375,Pioneer Natural Resources,PXD,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",39715,1038357,,,
,,376,PNC Financial Services,PNC,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",32263,713676,,,
,,377,Polo Ralph Lauren Corp.,RL,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",39115,1037038,,,
,,378,PPG Industries,PPG,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879,1883,,
,,379,PPL Corp.,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,,,
,,380,Principal Financial Group,PFG,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",37459,1126328,,,
,,381,Procter & Gamble,PG,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424,1837,,
,,382,Progressive Corp.,PGR,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",35646,80661,,,
,,383,Prologis,PLD,reports,Real Estate,Industrial REITs,"San Francisco, California",37819,1045609,,,
,,384,Prudential Financial,PRU,reports,Financials,Life & Health Insurance,"Newark, New Jersey",37459,1137774,,,
,,385,Public Serv. Enterprise Inc.,PEG,reports,Utilities,Electric Utilities,"Newark, New Jersey",,788784,,,
,,386,Public Storage,PSA,reports,Real Estate,Specialized REITs,"Glendale, California",38583,1393311,,,
,,387,Pulte Homes Inc.,PHM,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30802,822416,,,
,,388,PVH Corp.,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",41320,78239,,,
,,389,Qorvo,QRVO,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",42166,1604778,,,
,,390,Quanta Services Inc.,PWR,reports,Industrials,Construction & Engineering,"Houston, Texas",39995,1050915,,,
,,391,QUALCOMM Inc.,QCOM,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985,,
,,392,Quest Diagnostics,DGX,reports,Health Care,Health Care Services,"Madison, New Jersey",37602,1022079,,,
RJF,,393,Frontier Communications,FTR,reports,,,,,20520,,,
,,394,Raytheon Co.,RTN,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122,1922,,
,,395,Realty Income Corporation,O,reports,Real Estate,Retail REITs,"San Diego, California",42101,726728,,,
,,396,Red Hat Inc.,RHT,reports,Information Technology,Systems Software,"Raleigh, North Carolina",40021,1087423,,,
REG,,397,Endo International plc,ENDP,reports,,,,,1593034,,,
,,398,Regeneron,REGN,reports,Health Care,Biotechnology,"Tarrytown, New York",41395,872589,,,
,,399,Regions Financial Corp.,RF,reports,Financials,Regional Banks,"Birmingham, Alabama",36035,1281761,,,
,,400,Republic Services Inc,RSG,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",39787,1060391,,,
RMD,,401,Mallinckrodt,MNK,reports,,,,,1567892,,,
,,402,Robert Half International,RHI,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",36865,315213,,,
,,403,Rockwell Automation Inc.,ROK,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,,,
,ROL,404,Andeavor,ANDV,reports,,,,,50104,,,
,,405,Roper Technologies,ROP,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",40170,882835,,,
,,406,Ross Stores,ROST,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",40168,745732,,,
,,407,Royal Caribbean Cruises Ltd,RCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",41978,884887,,,
,,408,Salesforce.com,CRM,reports,Information Technology,Internet Software & Services,"San Francisco, California",39706,1108524,,,
SBAC,,409,DuPont,DD,reports,,,,,30554,,,
,,410,Schlumberger Ltd.,SLB,reports,Energy,Oil & Gas Equipment & Services,"CuraÃ§ao, Kingdom of the Netherlands",23832,87347,1926,,
,,411,Seagate Technology,STX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",41092,1137789,,,
,,412,Sealed Air,SEE,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100,,,
,,413,Sempra Energy,SRE,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,,,
,,414,Sherwin-Williams,SHW,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",23558,89800,1866,,
,,415,Simon Property Group Inc,SPG,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",37433,1063761,,,
,,416,Skyworks Solutions,SWKS,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",42075,4127,,,
,,417,SL Green Realty,SLG,reports,Real Estate,Office REITs,"New York, New York",42083,1040971,,,
,,418,Snap-on,SNA,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",30224,91440,,,
,,419,Southern Co.,SO,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,,,
,,420,Southwest Airlines,LUV,reports,Industrials,Airlines,"Dallas, Texas",34516,92380,,,
,,421,"S&P Global, Inc.",SPGI,reports,Financials,Financial Exchanges & Data,"New York, New York",,64040,,,
,,422,Stanley Black & Decker,SWK,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",30224,93556,,,
,,423,Starbucks Corp.,SBUX,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971,,
,,424,State Street Corp.,STT,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,,,
,,425,Stryker Corp.,SYK,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",36872,310764,,,
,,426,SunTrust Banks,STI,reports,Financials,Regional Banks,"Atlanta, Georgia",32294,750556,,,
,SIVB,427,Patterson Companies,PDCO,reports,,,,,891024,,,
,,428,Symantec Corp.,SYMC,reports,Information Technology,Application Software,"Mountain View, California",37705,849399,,,
,,429,Synchrony Financial,SYF,reports,Financials,Consumer Finance,"Stamford, Connecticut",42326,1601712,,,
SNPS,,430,Harman Int’l Industires,HAR,reports,,,,,876661,,,
,,431,Sysco Corp.,SYY,reports,Consumer Staples,Food Distributors,"Houston, Texas",31777,96021,,,
,,432,T. Rowe Price Group,TROW,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937,,
,TTWO,433,Signet Jewlers,SIG,reports,,,,,832988,,,
,,434,"Tapestry, Inc.",TPR,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017,,
,,435,Target Corp.,TGT,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",28125,27419,,,
,,436,TE Connectivity Ltd.,TEL,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",40833,1385157,,,
,,437,TechnipFMC,FTI,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",39969,1681459,,,
,TFX,438,PG&E Corp,PCG,reports,,,,,1004980,,,
,,439,Texas Instruments,TXN,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,,
,,440,Textron Inc.,TXT,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",28855,217346,,,
,,441,Thermo Fisher Scientific,TMO,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745,2006,,
,,442,Tiffany & Co.,TIF,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",36698,98246,,,
,TWTR,443,Monsanto,MON,reports,,,,,1110783,,,
,,444,TJX Companies Inc.,TJX,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",31320,109198,,,
,,445,Torchmark Corp.,TMK,reports,Financials,Life & Health Insurance,"McKinney, Texas",32628,320335,,,
,,446,Total System Services,TSS,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",39449,721683,,,
,,447,Tractor Supply Company,TSCO,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",41663,916365,,,
,,448,TransDigm Group,TDG,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",42524,1260221,,,
,,449,The Travelers Companies Inc.,TRV,reports,Financials,Property & Casualty Insurance,"New York, New York",37489,86312,,,
,,450,TripAdvisor,TRIP,reports,Communication Services,Interactive Media & Services,"Newton, Massachusetts",40898,1526520,,,
,,451,Twenty-First Century Fox Class A,FOXA,reports,Communication Services,Movies & Entertainment,"New York, New York",41456,1308161,,,
,,452,Twenty-First Century Fox Class B,FOX,reports,Communication Services,Movies & Entertainment,"New York, New York",42265,1308161,,,
,,453,Tyson Foods,TSN,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,,,
,,454,UDR Inc,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",42436,74208,,,
,,455,Ulta Beauty,ULTA,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",42478,1403568,,,
,,456,U.S. Bancorp,USB,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968,,
,,457,Under Armour Class A,UAA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",42454,1336917,,,
,,458,Under Armour Class C,UA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",41760,1336917,,,
,,459,Union Pacific,UNP,reports,Industrials,Railroads,"Omaha, Nebraska",,100885,,,
,,460,United Continental Holdings,UAL,reports,Industrials,Airlines,"Chicago, Illinois",42250,100517,,,
,,461,United Health Group Inc.,UNH,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",34516,731766,,,
,,462,United Parcel Service,UPS,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",37459,1090727,,,
,,463,"United Rentals, Inc.",URI,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",41902,1067701,,,
,,464,United Technologies,UTX,reports,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829,,,
,,465,"Universal Health Services, Inc.",UHS,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",41902,352915,,,
,,466,Unum Group,UNM,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",34394,5513,,,
,,467,V.F. Corp.,VFC,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",29036,103379,,,
,,468,Valero Energy,VLO,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980,,
,,469,Varian Medical Systems,VAR,reports,Health Care,Health Care Equipment,"Palo Alto, California",39125,203527,,,
,,470,Ventas Inc,VTR,reports,Real Estate,Health Care REITs,"Chicago, Illinois",39876,740260,,,
,,471,Verisign Inc.,VRSN,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",38749,1014473,,,
,,472,Verisk Analytics,VRSK,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",42285,1442145,,,
,,473,Verizon Communications,VZ,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",30650,732712,,,
,,474,Vertex Pharmaceuticals Inc,VRTX,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",41540,875320,,,
,,475,Viacom Inc.,VIAB,reports,Communication Services,Movies & Entertainment,"New York, New York",,1339947,,,
,,476,Visa Inc.,V,reports,Information Technology,IT Services,"San Francisco, California",40168,1403161,,,
,,477,Vornado Realty Trust,VNO,reports,Real Estate,Office REITs,"New York, New York",,899689,,,
,,478,Vulcan Materials,VMC,reports,Materials,Construction Materials,"Birmingham, Alabama",36341,1396009,,,
,WAB,479,The Goodyear Tire & Rubber Company,GT,reports,,,,,42582,,,
,,480,Walmart,WMT,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",30194,104169,,,
,,481,Walgreens Boots Alliance,WBA,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",29220,1618921,,,
,,482,The Walt Disney Company,DIS,reports,Communication Services,Movies & Entertainment,"Burbank, California",27941,1001039,,,
,,483,Waste Management Inc.,WM,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968,,
,,484,Waters Corporation,WAT,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958,,
,,485,Wec Energy Group Inc,WEC,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",39752,783325,,,
,wcg,486,XL Group,XL,reports,,,,,875159,,,
,,487,Wells Fargo,WFC,reports,Financials,Diversified Banks,"San Francisco, California",27941,72971,,,
,,488,Welltower Inc.,WELL,reports,Real Estate,Health Care REITs,"Toledo, Ohio",39843,766704,,,
,,489,Western Digital,WDC,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",39995,106040,,,
,,490,Western Union Co,WU,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135,1851,,
,,491,WestRock,WRK,reports,Materials,Paper Packaging,"Richmond, Virginia",,1636023,,,
,,492,Weyerhaeuser,WY,reports,Real Estate,Specialized REITS,"Federal Way, Washington",,106535,,,
,,493,Whirlpool Corp.,WHR,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911,,
,,494,Williams Cos.,WMB,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",27484,107263,,,
,,495,Willis Towers Watson,WLTW,reports,Financials,Insurance Brokers,"London, United Kingdom",42374,1140536,,,
,,496,Wynn Resorts Ltd,WYNN,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",39766,1174922,,,
,,497,Xcel Energy Inc,XEL,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,1909,,
,,498,Xerox,XRX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906,,
,,499,Xilinx,XLNX,reports,Information Technology,Semiconductors,"San Jose, California",36472,743988,,,
,,500,Xylem Inc.,XYL,reports,Industrials,Industrial Machinery,"White Plains, New York",40848,1524472,,,
,,501,Yum! Brands Inc,YUM,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",35709,1041061,,,
,,502,Zimmer Biomet Holdings,ZBH,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",37110,1136869,,,
