,,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
,18,Alexion Pharmaceuticals,ALXN,reports,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/12,0000899866,1992
,19,Align Technology,ALGN,reports,Health Care,Health Care Supplies,"San Jose, California",6/19/17,0001097149,1997
,20,Allegion,ALLE,reports,Industrials,Building Products,"Dublin, Ireland",12/2/13,0001579241,1908
,21,"Allergan, Plc",AGN,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/99,0001578845,1983
,22,Alliance Data Systems,ADS,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/13,0001101215,1996
,23,Alliant Energy Corp,LNT,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,0000352541,1917
,24,Allstate Corp,ALL,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/95,0000899051,1931
,25,Alphabet Inc Class A,GOOGL,reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/14,0001652044,1998
,26,Alphabet Inc Class C,GOOG,reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/06,0001652044,1998
,27,Altria Group Inc,MO,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,0000764180,1985
,28,Amazon.com Inc.,AMZN,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,0001018724,1994
,29,Ameren Corp,AEE,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,0001002910,1902
,30,American Airlines Group,AAL,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/15,0000006201,1934
,31,American Electric Power,AEP,reports,Utilities,Electric Utilities,"Columbus, Ohio",,0000004904,1906
,32,American Express Co,AXP,reports,Financials,Consumer Finance,"New York, New York",6/30/76,0000004962,1850
,33,American International Group,AIG,reports,Financials,Property & Casualty Insurance,"New York, New York",3/31/80,0000005272,1919
,34,American Tower Corp.,AMT,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/07,0001053507,1995
,35,American Water Works Company Inc,AWK,reports,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/16,0001410636,1886
,36,Ameriprise Financial,AMP,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,0000820027,1894
,37,AmerisourceBergen Corp,ABC,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/01,0001140859,1985
,38,AMETEK Inc.,AME,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,0001037868,1930
,39,Amgen Inc.,AMGN,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,0000318154,1980
,40,Amphenol Corp,APH,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,0000820313,1932
,41,Anadarko Petroleum Corp,APC,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",7/28/97,0000773910,1959
,42,"Analog Devices, Inc.",ADI,reports,Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/99,0000006281,1965
,43,ANSYS,ANSS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,0001013462,1969
,44,Anthem Inc.,ANTM,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,0001156039,2014 (1940s)
,45,Aon plc,AON,reports,Financials,Insurance Brokers,"London, United Kingdom",4/23/96,0000315293,1982 (1919)
,46,A.O. Smith Corp,AOS,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,0000091142,1916
,47,Apache Corporation,APA,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,0000006769,1954
,48,Apartment Investment & Management,AIV,reports,Real Estate,Residential REITs,"Denver, Colorado",3/14/03,0000922864,1994 (1975)
,49,Apple Inc.,AAPL,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,0000320193,1977
,50,Applied Materials Inc.,AMAT,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/95,0000006951,1967
,51,Aptiv Plc,APTV,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/12,0001521332,1994
,52,Archer-Daniels-Midland Co,ADM,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/81,0000007084,1902
,53,Arconic Inc.,ARNC,reports,Industrials,Aerospace & Defense,"New York, New York",3/31/64,0000004281,2016
anet,54,GGP Inc.,GGP,reports,,,,,0000895648,
,55,Arthur J. Gallagher & Co.,AJG,reports,Financials,Insurance Brokers,"Itasca, Illinois",5/31/16,0000354190,
,56,Assurant,AIZ,reports,Financials,Multi-line Insurance,"New York, New York",4/10/07,0001267238,
ATO,57,Newfield Exploration,NFX,reports,,,,,0000912750,
,58,AT&T Inc.,T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/83,0000732717,1983
,59,Autodesk Inc.,ADSK,reports,Information Technology,Application Software,"San Rafael, California",12/1/89,0000769397,
,60,Automatic Data Processing,ADP,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",3/31/81,0000008670,
,61,AutoZone Inc,AZO,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/97,0000866787,
,62,"AvalonBay Communities, Inc.",AVB,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/07,0000915912,
,63,Avery Dennison Corp,AVY,reports,Materials,Paper Packaging,"Glendale, California",12/31/87,0000008818,
,64,"Baker Hughes, a GE Company",BHGE,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,0001701605,2017
,65,Ball Corp,BLL,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,0000009389,
,66,Bank of America Corp,BAC,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,0000070858,
,67,The Bank of New York Mellon Corp.,BK,reports,Financials,Asset Management & Custody Banks,"New York, New York",3/31/95,0001390777,
,68,Baxter International Inc.,BAX,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,0000010456,1931
,69,BB&T Corporation,BBT,reports,Financials,Regional Banks,"Winston-Salem, North Carolina",12/4/97,0000092230,
,70,Becton Dickinson,BDX,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,0000010795,1897
,71,Berkshire Hathaway,BRK.B,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,0001067983,
,72,Best Buy Co. Inc.,BBY,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,0000764478,
,73,Biogen Inc.,BIIB,reports,Health Care,Biotechnology,"Weston, Massachusetts",11/13/03,0000875045,
,74,BlackRock,BLK,reports,Financials,Asset Management & Custody Banks,"New York, New York",4/4/11,0001364742,
,75,Block H&R,HRB,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/86,0000012659,
,76,Boeing Company,BA,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,0000012927,1916
,77,Booking Holdings Inc,BKNG,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,0001075531,
,78,BorgWarner,BWA,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,0000908255,
,79,Boston Properties,BXP,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,0001037540,
,80,Boston Scientific,BSX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/95,0000885725,
,81,Bristol-Myers Squibb,BMY,reports,Health Care,Health Care Distributors,"New York, New York",,0000014272,1989
,82,Broadcom,AVGO,reports,Information Technology,Semiconductors,"San Jose, California",5/8/14,0001441634,
BR,83,Range Resources,RRC,reports,,,,,0000315852,
,84,Brown-Forman Corp.,BF.B,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,0000014693,
,85,C. H. Robinson Worldwide,CHRW,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,0001043277,
,86,Cabot Oil & Gas,COG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,0000858470,
,87,Cadence Design Systems,CDNS,reports,Information Technology,Application Software,"San Jose, California",9/18/17,0000813672,
,88,Campbell Soup,CPB,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,0000016732,1869
,89,Capital One Financial,COF,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,0000927628,1935
,90,Capri Holdings,CPRI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/13,0001530721,
,91,Cardinal Health Inc.,CAH,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,0000721371,
,92,Carmax Inc,KMX,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,0001170010,
,93,Carnival Corp.,CCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,0000815097,
,94,Caterpillar Inc.,CAT,reports,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,0000018230,1925
,95,Cboe Global Markets,CBOE,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,0001374310,
,96,CBRE Group,CBRE,reports,Real Estate,Real Estate Services,"Los Angeles, California",11/10/06,0001138118,
,97,CBS Corp.,CBS,reports,Communication Services,Broadcasting,"New York, New York",9/1/94,0000813828,2006
CE,98,Express Scripts,ESRX,reports,,,,,0001532063,
,99,Celgene Corp.,CELG,reports,Health Care,Biotechnology,"Summit, New Jersey",39027,0000816284,
,100,Centene Corporation,CNC,reports,Health Care,Managed Health Care,"St Louis, Missouri",42459,0001071739,
,101,CenterPoint Energy,CNP,reports,Utilities,Multi-Utilities,"Houston, Texas",31259,0001130310,
,102,CenturyLink Inc,CTL,reports,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",36244,0000018926,
,103,Cerner,CERN,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",40298,0000804753,
,104,CF Industries Holdings Inc,CF,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",39687,0001324404,
,105,Charles Schwab Corporation,SCHW,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",35583,0000316709,
,106,Charter Communications,CHTR,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",42621,0001091667,
,107,Chevron Corp.,CVX,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,0000093410,1879
,108,Chipotle Mexican Grill,CMG,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",40661,0001058090,
,109,Chubb Limited,CB,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",40374,0000896159,
,110,Church & Dwight,CHD,reports,Consumer Staples,Household Products,"Ewing, New Jersey",42367,0000313927,
,111,CIGNA Corp.,CI,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",27941,0000701221,
,112,Cimarex Energy,XEC,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",41811,0001168054,
,113,Cincinnati Financial,CINF,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",35782,0000020286,
,114,Cintas Corporation,CTAS,reports,Industrials,Diversified Support Services,"Mason, Ohio",36951,0000723254,
,115,Cisco Systems,CSCO,reports,Information Technology,Communications Equipment,"San Jose, California",34304,0000858877,
,116,Citigroup Inc.,C,reports,Financials,Diversified Banks,"New York, New York",32294,0000831001,
,117,Citizens Financial Group,CFG,reports,Financials,Regional Banks,"Providence, Rhode Island",42398,0000759944,
,118,Citrix Systems,CTXS,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",36495,0000877890,
,119,The Clorox Company,CLX,reports,Consumer Staples,Household Products,"Oakland, California",25293,0000021076,1913
,120,CME Group Inc.,CME,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",38940,0001156375,
,121,CMS Energy,CMS,reports,Utilities,Multi-Utilities,"Jackson, Michigan",36283,0000811156,
,122,Coca-Cola Company,KO,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,0000021344,1886
,123,Cognizant Technology Solutions,CTSH,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",39038,0001058290,
,124,Colgate-Palmolive,CL,reports,Consumer Staples,Household Products,"New York, New York",,0000021665,1806
,125,Comcast Corp.,CMCSA,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",42265,0001166691,
,126,Comerica Inc.,CMA,reports,Financials,Diversified Banks,"Dallas, Texas",35034,0000028412,
,127,Conagra Brands,CAG,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",30559,0000023217,
,128,Concho Resources,CXO,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",42422,0001358071,
,129,ConocoPhillips,COP,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,0001163165,2002
,130,Consolidated Edison,ED,reports,Utilities,Electric Utilities,"New York, New York",,0001047862,1823
,131,Constellation Brands,STZ,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",38538,0000016918,
,132,The Cooper Companies,COO,reports,Health Care,Health Care Supplies,"Pleasanton, California",42636,0000711404,
CPRT,133,Dr Pepper Snapple Group ,DPS,reports,,,,,0001418135,
,134,Corning Inc.,GLW,reports,Information Technology,Electronic Components,"Corning, New York",,0000024741,1851
,135,Costco Wholesale Corp.,COST,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",34243,0000909832,
,136,"Coty, Inc",COTY,reports,Consumer Staples,Personal Products,"New York, New York",42646,0001024305,
,137,Crown Castle International Corp.,CCI,reports,Real Estate,Specialized REITs,"Houston, Texas",40982,0001051470,
,138,CSX Corp.,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",24745,0000277948,1980
,139,Cummins Inc.,CMI,reports,Industrials,Industrial Machinery,"Columbus, Indiana",23832,0000026172,1919
,140,CVS Health,CVS,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,0000064803,1996
,141,D. R. Horton,DHI,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,0000882184,1978
,142,Danaher Corp.,DHR,reports,Health Care,Health Care Equipment,"Washington, D.C.",,0000313616,1969
,143,Darden Restaurants,DRI,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,0000940944,1938
,144,DaVita Inc.,DVA,reports,Health Care,Health Care Facilities,"Denver, Colorado",39660,0000927066,
,145,Deere & Co.,DE,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,0000315189,1837
,146,Delta Air Lines Inc.,DAL,reports,Industrials,Airlines,"Atlanta, Georgia",41528,0000027904,
,147,Dentsply Sirona,XRAY,reports,Health Care,Health Care Supplies,"York, Pennsylvania",39766,0000818479,
,148,Devon Energy,DVN,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",36768,0001090012,
fang,149,Stericycle Inc ,SRCL,reports,,,,,0000861878,
,150,Digital Realty Trust Inc,DLR,reports,Real Estate,Specialized REITs,"San Francisco, California",42508,0001297996,
,151,Discover Financial Services,DFS,reports,Financials,Consumer Finance,"Riverwoods, Illinois",39265,0001393612,
,152,Discovery Inc. Class A,DISCA,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",40238,0001437107,
,153,Discovery Inc. Class C,DISCK,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",41858,0001437107,
,154,Dish Network,DISH,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",42807,0001001082,
,155,Dollar General,DG,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",41246,0000029534,
,156,Dollar Tree,DLTR,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",40896,0000935703,
,157,Dominion Energy,D,reports,Utilities,Electric Utilities,"Richmond, Virginia",,0000715957,1983
,158,Dover Corp.,DOV,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",31351,0000029905,
DOW,159,Brighthouse Financial,BHF,reports,,,,,0001685040,
,160,DowDuPont,DWDP,reports,Materials,Specialty Chemicals,"Midland, Michigan",,0001666700,2017
,161,DTE Energy Co.,DTE,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,0000936340,1995
,162,Duke Realty Corp,DRE,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",42942,0000783280,
,163,Duke Energy,DUK,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",27941,0001326160,
,164,DXC Technology,DXC,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",42829,0001688568,
,165,E*Trade,ETFC,reports,Financials,Investment Banking & Brokerage,"New York, New York",38077,0001015780,
,166,Eastman Chemical,EMN,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",34335,0000915389,
,167,Eaton Corporation,ETN,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,0001551182,1911
,168,eBay Inc.,EBAY,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,0001065088,1995
,169,Ecolab Inc.,ECL,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",32539,0000031462,
,170,Edison Int'l,EIX,reports,Utilities,Electric Utilities,"Rosemead, California",,0000827052,1886
,171,Edwards Lifesciences,EW,reports,Health Care,Health Care Equipment,"Irvine, California",40634,0001099800,
,172,Electronic Arts,EA,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",37459,0000712515,
,173,Emerson Electric Company,EMR,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",23832,0000032604,1890
,174,Entergy Corp.,ETR,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,0000065984,1913
,175,EOG Resources,EOG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",36832,0000821189,
,176,Equifax Inc.,EFX,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",35600,0000033185,
,177,Equinix,EQIX,reports,Real Estate,Specialized REITs,"Redwood City, California",42083,0001101239,
,178,Equity Residential,EQR,reports,Real Estate,Residential REITs,"Chicago, Illinois",37228,0000906107,
,179,"Essex Property Trust, Inc.",ESS,reports,Real Estate,Residential REITs,"Palo Alto, California",41731,0000920522,
,180,Estee Lauder Cos.,EL,reports,Consumer Staples,Personal Products,"New York, New York",38722,0001001250,
EVRG,181,Navient Corp ,NAVI,reports,,,,,0001593538,
,182,Eversource Energy,ES,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",,0000072741,1966
,183,Everest Re Group Ltd.,RE,reports,Financials,Reinsurance,"Hamilton, Bermuda",42905,0001095073,
,184,Exelon Corp.,EXC,reports,Utilities,Multi-Utilities,"Chicago, Illinois",,0001109357,2000
,185,Expedia Group,EXPE,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",39357,0001324424,
,186,Expeditors,EXPD,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",39365,0000746515,
,187,Extra Space Storage,EXR,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",42388,0001289490,
,188,Exxon Mobil Corp.,XOM,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,0000034088,1999
,189,F5 Networks,FFIV,reports,Information Technology,Communications Equipment,"Seattle, Washington",40532,0001048695,1996
,190,"Facebook, Inc.",FB,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",41631,0001326801,
,191,Fastenal Co,FAST,reports,Industrials,Building Products,"Winona, Minnesota",40071,0000815556,
,192,Federal Realty Investment Trust,FRT,reports,Real Estate,Retail REITs,"Rockville, Maryland",42401,0000034903,
,193,FedEx Corporation,FDX,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",29586,0001048911,
,194,Fidelity National Information Services,FIS,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",39031,0001136893,
,195,Fifth Third Bancorp,FITB,reports,Financials,Regional Banks,"Cincinnati, Ohio",,0000035527,1858
,196,FirstEnergy Corp,FE,reports,Utilities,Electric Utilities,"Akron, Ohio",,0001031296,1997
FRC,197,SCANA,SCG,reports,,,,,0000754737,
,198,Fiserv Inc,FISV,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",36983,0000798354,
FLT,199,Time Warner ,TWX,reports,,,,,0001105705,
,200,FLIR Systems,FLIR,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",39815,0000354908,
,201,Flowserve Corporation,FLS,reports,Industrials,Industrial Machinery,"Irving, Texas",39723,0000030625,
,202,Fluor Corp.,FLR,reports,Industrials,Construction & Engineering,"Irving, Texas",29311,0001124198,
,203,FMC Corporation,FMC,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",40044,0000037785,
,204,Foot Locker Inc,FL,reports,Consumer Discretionary,Apparel Retail,"New York, New York",42464,0000850209,
,205,Ford Motor,F,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,0000037996,1903
FTNT,206,Envision Healthcare ,EVHC,reports,,,,,0001344154,
,207,Fortive Corp,FTV,reports,Industrials,Industrial Machinery,"Everett, Washington",42552,0001659166,
,208,Fortune Brands Home & Security,FBHS,reports,Industrials,Building Products,"Deerfield, Illinois",42543,0001519751,
,209,Franklin Resources,BEN,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,0000038777,1947
,210,Freeport-McMoRan Inc.,FCX,reports,Materials,Copper,"Phoenix, Arizona",,0000831259,1912
,211,Gap Inc.,GPS,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",31655,0000039911,
,212,Garmin Ltd.,GRMN,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",41255,0001121788,
,213,Gartner Inc,IT,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",42830,0000749251,
,214,General Dynamics,GD,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",,0000040533,1899
,215,General Electric,GE,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,0000040545,1892
,216,General Mills,GIS,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",25293,0000040704,1856
,217,General Motors,GM,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",41431,0001467858,
,218,Genuine Parts,GPC,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",27029,0000040987,1925
,219,Gilead Sciences,GILD,reports,Health Care,Biotechnology,"Foster City, California",38169,0000882095,
,220,Global Payments Inc.,GPN,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",42485,0001123360,
,221,Goldman Sachs Group,GS,reports,Financials,Investment Banking & Brokerage,"New York, New York",37459,0000886982,
,222,Grainger (W.W.) Inc.,GWW,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",29767,0000277135,
,223,Halliburton Co.,HAL,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,0000045012,1919
,224,Hanesbrands Inc,HBI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",42083,0001359841,
,225,Harley-Davidson,HOG,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,0000793952,1903
,226,Harris Corporation,HRS,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",39713,0000202058,
,227,Hartford Financial Svc.Gp.,HIG,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,0000874766,
,228,Hasbro Inc.,HAS,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30955,0000046080,
,229,HCA Holdings,HCA,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",42031,0000860730,
,230,HCP Inc.,HCP,reports,Real Estate,Health Care REITs,"Long Beach, California",39538,0000765880,
,231,Helmerich & Payne,HP,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",40238,0000046765,
,232,Henry Schein,HSIC,reports,Health Care,Health Care Distributors,"Melville, New York",42080,0001000228,
,233,The Hershey Company,HSY,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,0000047111,1894
,234,Hess Corporation,HES,reports,Energy,Integrated Oil & Gas,"New York, New York",30833,0000004447,
,235,Hewlett Packard Enterprise,HPE,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",42310,0001645590,
,236,Hilton Worldwide Holdings Inc,HLT,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",42905,0001585689,
HFC,237,Acuity Brands,AYI,reports,,,,,0001144215,
,238,Hologic,HOLX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",42459,0000859737,
,239,Home Depot,HD,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",32233,0000354950,
,240,Honeywell Int'l Inc.,HON,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",23467,0000773840,1906
,241,Hormel Foods Corp.,HRL,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",39876,0000048465,
,242,Host Hotels & Resorts,HST,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",39161,0001070750,
,243,HP Inc.,HPQ,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",27394,0000047217,1939 (2015)
,244,Humana Inc.,HUM,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,0000049071,1961
,245,Huntington Bancshares,HBAN,reports,Financials,Regional Banks,"Columbus, Ohio",,0000049196,1866
HII,246,CR Bard,BCR,reports,,,,,0000009892,
,247,IDEXX Laboratories,IDXX,reports,Health Care,Health Care Equipment,"Westbrook, Maine",42740,0000874716,
,248,IHS Markit Ltd.,INFO,reports,Industrials,Research & Consulting Services,"London, United Kingdom",42888,0001598014,
